Gene Group,R1 MOCK 0h,R2 MOCK 0h,R1 LPS 0h,R2 LPS 0h,R1 MOCK 01h,R2 MOCK 01h,R1 LPS 01h,R2 LPS 01h,R1 MOCK 02h,R2 MOCK 02h,R1 LPS 02h,R2 LPS 02h,R1 MOCK 04h,R2 MOCK 04h,R1 LPS 04h,R2 LPS 04h,R1 MOCK 06h,R2 MOCK 06h,R1 LPS 06h,R2 LPS 06h,R1 MOCK 09h,R2 MOCK 09h,R1 LPS 09h,R2 LPS 09h,R1 MOCK 12h,R2 MOCK 12h,R1 LPS 12h,R2 LPS 12h
Commd3,243.2289625,277.0816007,243.2289625,277.0816007,225.9575443,286.2773415,172.7736647,204.0948178,161.2903995,259.7056974,167.5323892,248.4845166,209.562083,229.7332423,122.8796729,141.6853,192.339483,267.7368808,139.0449052,133.9802612,226.2432576,275.057956,128.435582,179.0367342,227.6164354,339.3018684,159.5151207,206.3158192
Mapk3,469.6359288,643.0495404,469.6359288,643.0495404,529.1746854,495.7620119,478.3934405,503.1535701,562.6201927,631.9594496,365.3930802,404.1126817,537.610592,532.1372908,338.8188602,322.4254784,517.5179972,777.9849537,282.9121411,263.6631234,542.1079293,581.0327461,237.2786731,429.1882535,592.6972954,641.3190086,257.654595,338.6516308
Nup62,63.13602623,64.51270712,63.13602623,64.51270712,72.48901476,65.69706964,93.85367912,50.43305618,70.33475762,68.29072622,77.95122759,76.91938359,76.78520337,61.16975404,34.37905728,39.8452339,75.58196337,71.92025441,38.74681108,42.72244665,86.08151554,68.40134662,52.19139437,55.53069432,53.01252368,61.34730842,64.20232264,60.29363284
Map2k2,85.74394948,68.59962274,85.74394948,68.59962274,83.30766793,80.0622653,69.10365754,103.4918776,107.6120478,78.07925719,82.77644688,64.04568055,79.53523505,77.49925737,75.73943215,61.53083485,99.28608029,102.5785263,69.96011947,59.89356618,97.90792994,73.33087315,81.15048876,79.69703979,90.08240132,68.47750423,81.56245795,69.59152907
Crk,84.69300771,63.32785208,84.69300771,63.32785208,57.16917702,72.256889,79.74962862,65.51027588,56.54843273,57.62133158,81.55105818,54.25372897,76.00930983,68.73638654,60.85943999,41.62827141,59.01281365,49.19001146,78.80741962,57.79734137,66.8651728,52.641802,82.42266454,46.42456044,68.7261751,60.02658701,77.50429322,48.91882785
Maoa,14.07013359,23.2395039,14.07013359,23.2395039,21.20126394,15.10191946,77.06649279,57.66867179,17.16810927,31.9315138,18.48425945,33.61000793,51.29252607,15.13282562,23.44703626,32.95395862,28.45754203,35.37164739,9.59684613,16.12726799,19.85060838,26.92822978,7.423287795,34.27492701,29.70708985,23.12529871,6.17043063,27.28511245
Cdk6,17.98042265,34.36292978,17.98042265,34.36292978,21.32552435,21.22468627,41.27033718,36.84639367,27.06756454,41.73574586,47.31783948,48.87762194,32.51878937,22.68989403,39.71939662,51.06761936,25.90206134,27.41603572,26.54283709,27.47239455,18.5576748,23.34911345,15.20572906,29.43714805,15.73304661,21.68191105,17.92016766,26.65468094
Bst1,219.0862334,147.3116679,219.0862334,147.3116679,181.9279923,170.557568,181.9910814,120.7163346,190.463458,157.8863855,184.8511314,143.4633077,196.8297421,171.5802259,148.7866944,98.3730078,192.2958204,129.5657533,172.8053077,149.2889835,195.6815546,159.1142051,238.2099676,142.5520569,173.6447376,150.6347463,299.0955818,261.353151
Ifit1,5.280671703,2.856493132,5.280671703,2.856493132,6.135267963,4.621694682,116.964565,92.85876796,8.310964248,10.34218055,1239.638883,1464.613604,5.967794159,13.83068233,2752.096701,3915.570165,8.716687984,7.72425927,2955.028627,3218.320671,5.014325809,12.66000552,1575.048787,1598.397151,5.702945685,10.64211644,1250.255168,1671.173402
Irf4,108.5597375,69.91886571,108.5597375,69.91886571,86.46924251,64.37109427,256.5502749,199.4055494,101.4971785,88.49833091,146.6683695,116.4514067,131.6280529,81.50129574,76.76809642,39.06519036,97.97864983,75.84377446,51.30268586,38.58469346,88.29678092,59.50970535,80.57544437,65.72643111,56.88537004,62.70537722,100.5013968,58.68292074
Ntan1,102.1770019,65.96502982,102.1770019,65.96502982,83.99514711,97.09282202,67.8104998,86.47379033,78.73117292,86.42750486,69.04886536,72.86774617,80.47385578,88.89055049,61.03690209,65.04520867,79.9904248,79.47959537,59.41010149,66.64814029,94.90234422,78.98113166,67.82418262,55.25693199,77.51527245,98.36322036,52.7374553,53.32178469
Sqstm1,277.1061531,267.6310452,277.1061531,267.6310452,278.4352989,259.8567877,668.0325985,556.3970183,312.7188529,283.3192539,1109.731277,726.098561,332.581609,253.3522596,733.1502871,495.037279,326.4285643,289.4793289,477.1024978,326.0035799,333.1656983,285.7704905,825.9433566,820.8922603,253.2337137,289.2771607,1204.056997,1075.520006
Isg15,30.1787119,52.498511,30.1787119,52.498511,40.75405869,27.3095781,939.3192575,611.6188485,106.4108647,62.0837639,3423.770064,4185.42681,58.12504793,67.56273072,6589.313889,8842.842309,73.17512837,69.2827142,8551.178202,10106.83968,59.96760825,91.35807602,6756.582641,6829.069279,58.35625773,92.23520075,6217.82058,7098.351624
Ifit3,4.301396155,1.955961763,4.301396155,1.955961763,3.520884179,5.571763729,11.1187622,4.964091417,10.21976998,2.703307794,113.0113138,76.56237687,4.789651425,6.028196058,715.1879123,771.6778468,5.213945419,1.21E-225,1244.044394,1458.784727,4.048335661,11.59362209,1185.590329,775.8204499,3.786081137,4.366587526,1176.170411,810.7253168
Fkbp5,37.11147066,18.0709727,37.11147066,18.0709727,30.58588882,26.18131656,24.33296666,18.15824451,25.79316636,24.76594849,20.19607462,18.82112272,31.76467584,29.20467406,15.21713454,9.193563708,25.58037033,19.81132473,12.96803424,10.41061884,30.72570877,23.2234638,10.91876045,7.433502746,25.79343666,23.42203262,12.19750302,6.585091278
Hspe1,500.6456773,449.056398,500.6456773,449.056398,582.3019027,550.2871356,447.494275,319.9316657,521.1990525,401.6331665,408.9966648,396.3084956,417.7840372,453.3512053,316.7328685,253.9297293,439.965865,358.4972707,333.2893323,295.1324558,486.8321906,501.5926479,380.4876182,253.2662677,541.366436,488.1027992,436.2849147,428.2824053
Sord,34.8852839,34.78558637,34.8852839,34.78558637,31.91570661,30.96294833,30.14974852,28.27789879,27.07214902,20.19469864,17.14638004,11.90915044,30.72037048,23.25610113,12.97142476,8.291914861,28.73631131,21.83742274,7.805569573,10.38248323,33.83148685,24.13085219,10.22944493,7.72824319,35.02283936,31.60293018,14.63197352,15.74396614
Hist1h2bh;Hist1h2bg,118.7876035,64.53425144,118.7876035,64.53425144,49.28007672,72.44096642,32.538305,54.87978753,27.16246814,117.9468503,10.69233181,30.09943845,42.70381082,91.12189487,7.666314768,18.36935714,40.17353505,86.05586528,10.28880987,6.656833245,36.54889691,63.59827545,8.747213844,10.90404653,29.83138797,92.23388794,7.307303148,23.00462774
Top2b,43.18077222,29.34667422,43.18077222,29.34667422,30.38350365,31.70551175,32.40992646,45.08033505,26.1446454,25.75840551,30.98564721,30.66063746,34.34717015,28.59022993,17.09975151,18.01467909,24.58047743,35.97156105,15.60571287,15.75920635,31.94157137,29.840241,13.69117327,9.730734475,24.93293758,32.30970254,13.58110727,13.61206384
Tpp2,71.26797058,98.40622769,71.26797058,98.40622769,56.57035327,92.60939924,78.70130947,179.5738561,51.50015454,94.80021781,65.94117975,90.78577758,80.27189349,70.30732437,44.01978605,61.25851951,47.07905023,81.43357514,38.05529144,53.12050592,56.38108644,72.91219364,41.0404962,71.57414579,47.35220211,82.16750058,42.9815559,79.85642412
Guk1,169.2897812,250.6805508,169.2897812,250.6805508,191.6095468,153.8983813,133.7034529,127.1072411,179.505749,202.9938106,138.6037982,154.7284159,162.8146065,217.8123062,188.4101319,198.5847389,217.8668947,318.4639529,200.7624766,193.5843499,248.5924324,230.9633158,162.0777158,287.0665595,267.5157366,252.8603377,126.0189471,178.5003208
Gpd2,33.4420079,54.27860863,33.4420079,54.27860863,34.06695327,45.59795872,61.99997399,109.9370647,39.63477206,52.96762062,68.6744326,103.2877843,56.17554442,43.38258643,78.89803816,129.2250878,46.70995098,61.22676397,98.61963308,119.1331309,36.85768893,46.43712504,91.30346258,123.4657764,45.42910188,41.66141892,74.87990969,97.87745889
Hist2h2bb,15.42254305,39.65872018,15.42254305,39.65872018,5.27976577,30.55694221,3.339194891,10.34795266,7.164262053,31.41170815,1.229332045,8.729983456,8.331825809,24.36153269,3.560335623,17.19319589,8.032546672,14.43180868,1.462520593,0,6.107135462,12.40689526,1.156427004,3.108600783,5.723589023,28.7727424,0.665849688,13.19560571
Nqo1,23.58510937,10.91006328,23.58510937,10.91006328,14.65964215,25.17259207,19.48537219,12.7246331,20.6237429,22.61441051,20.50276026,12.06006008,31.1553059,30.3316795,17.14612638,8.823434477,23.063875,15.4312159,13.43613388,13.29658594,32.38447636,16.40243772,16.55887676,11.32253613,29.65299855,19.94373744,15.83282853,12.03229812
